Variable_Code,Category,Type,Value,Margin_of_Error,ZIP
DP04_0001E,HOUSING OCCUPANCY > Total housing units,Estimate,10204,653,29690
DP04_0001PE,HOUSING OCCUPANCY > Total housing units,Percent,10204,,29690
DP04_0002E,HOUSING OCCUPANCY > Total housing units > Occupied housing units,Estimate,9235,650,29690
DP04_0002PE,HOUSING OCCUPANCY > Total housing units > Occupied housing units,Percent,90.5,2.9,29690
DP04_0003E,HOUSING OCCUPANCY > Total housing units > Vacant housing units,Estimate,969,307,29690
DP04_0003PE,HOUSING OCCUPANCY > Total housing units > Vacant housing units,Percent,9.5,2.9,29690
DP04_0004E,HOUSING OCCUPANCY > Total housing units > Homeowner vacancy rate,Estimate,0.6,0.6,29690
DP04_0005E,HOUSING OCCUPANCY > Total housing units > Rental vacancy rate,Estimate,4.9,4.5,29690
DP04_0006E,UNITS IN STRUCTURE > Total housing units,Estimate,10204,653,29690
DP04_0006PE,UNITS IN STRUCTURE > Total housing units,Percent,10204,,29690
DP04_0007E,"UNITS IN STRUCTURE > Total housing units > 1-unit, detached",Estimate,7527,607,29690
DP04_0007PE,"UNITS IN STRUCTURE > Total housing units > 1-unit, detached",Percent,73.8,3.4,29690
DP04_0008E,"UNITS IN STRUCTURE > Total housing units > 1-unit, attached",Estimate,53,38,29690
DP04_0008PE,"UNITS IN STRUCTURE > Total housing units > 1-unit, attached",Percent,0.5,0.4,29690
DP04_0009E,UNITS IN STRUCTURE > Total housing units > 2 units,Estimate,30,37,29690
DP04_0009PE,UNITS IN STRUCTURE > Total housing units > 2 units,Percent,0.3,0.4,29690
DP04_0010E,UNITS IN STRUCTURE > Total housing units > 3 or 4 units,Estimate,23,26,29690
DP04_0010PE,UNITS IN STRUCTURE > Total housing units > 3 or 4 units,Percent,0.2,0.3,29690
DP04_0011E,UNITS IN STRUCTURE > Total housing units > 5 to 9 units,Estimate,288,134,29690
DP04_0011PE,UNITS IN STRUCTURE > Total housing units > 5 to 9 units,Percent,2.8,1.3,29690
DP04_0012E,UNITS IN STRUCTURE > Total housing units > 10 to 19 units,Estimate,0,25,29690
DP04_0012PE,UNITS IN STRUCTURE > Total housing units > 10 to 19 units,Percent,0.0,0.4,29690
DP04_0013E,UNITS IN STRUCTURE > Total housing units > 20 or more units,Estimate,152,94,29690
DP04_0013PE,UNITS IN STRUCTURE > Total housing units > 20 or more units,Percent,1.5,0.9,29690
DP04_0014E,UNITS IN STRUCTURE > Total housing units > Mobile home,Estimate,2096,347,29690
DP04_0014PE,UNITS IN STRUCTURE > Total housing units > Mobile home,Percent,20.5,3.1,29690
DP04_0015E,"UNITS IN STRUCTURE > Total housing units > Boat, RV, van, etc.",Estimate,35,40,29690
DP04_0015PE,"UNITS IN STRUCTURE > Total housing units > Boat, RV, van, etc.",Percent,0.3,0.4,29690
DP04_0016E,YEAR STRUCTURE BUILT > Total housing units,Estimate,10204,653,29690
DP04_0016PE,YEAR STRUCTURE BUILT > Total housing units,Percent,10204,,29690
DP04_0017E,YEAR STRUCTURE BUILT > Total housing units > Built 2020 or later,Estimate,142,70,29690
DP04_0017PE,YEAR STRUCTURE BUILT > Total housing units > Built 2020 or later,Percent,1.4,0.7,29690
DP04_0018E,YEAR STRUCTURE BUILT > Total housing units > Built 2010 to 2019,Estimate,1307,322,29690
DP04_0018PE,YEAR STRUCTURE BUILT > Total housing units > Built 2010 to 2019,Percent,12.8,2.9,29690
