Date,Delinquency_Rate_Pct
2012-01-01,10.33
2012-04-01,10.45
2012-07-01,10.48
2012-10-01,10.03
2013-01-01,9.73
2013-04-01,9.32
2013-07-01,8.66
2013-10-01,8.29
2014-01-01,7.77
2014-04-01,7.43
2014-07-01,7.06
2014-10-01,6.5
2015-01-01,6.24
2015-04-01,5.82
2015-07-01,5.39
2015-10-01,5.11
2016-01-01,4.79
2016-04-01,4.58
2016-07-01,4.38
2016-10-01,4.14
2017-01-01,3.91
2017-04-01,3.68
2017-07-01,3.64
2017-10-01,3.57
2018-01-01,3.48
2018-04-01,3.22
2018-07-01,2.99
2018-10-01,2.83
2019-01-01,2.69
2019-04-01,2.6
2019-07-01,2.44
2019-10-01,2.34
2020-01-01,2.35
2020-04-01,2.54
2020-07-01,2.83
2020-10-01,2.75
2021-01-01,2.68
2021-04-01,2.48
2021-07-01,2.3
2021-10-01,2.29
2022-01-01,2.09
2022-04-01,1.96
2022-07-01,1.84
2022-10-01,1.79
2023-01-01,1.74
2023-04-01,1.72
2023-07-01,1.72
2023-10-01,1.7
2024-01-01,1.71
2024-04-01,1.73
2024-07-01,1.74
2024-10-01,1.77
2025-01-01,1.78
2025-04-01,1.79
2025-07-01,1.78
2025-10-01,1.78
