Date,Rate_30Yr_Fixed
2012-01-01,3.92
2012-02-01,3.89
2012-03-01,3.95
2012-04-01,3.91
2012-05-01,3.8
2012-06-01,3.67
2012-07-01,3.55
2012-08-01,3.6
2012-09-01,3.5
2012-10-01,3.38
2012-11-01,3.35
2012-12-01,3.35
2013-01-01,3.41
2013-02-01,3.53
2013-03-01,3.57
2013-04-01,3.45
2013-05-01,3.54
2013-06-01,4.07
2013-07-01,4.37
2013-08-01,4.46
2013-09-01,4.49
2013-10-01,4.19
2013-11-01,4.25
2013-12-01,4.46
2014-01-01,4.43
2014-02-01,4.3
2014-03-01,4.34
2014-04-01,4.34
2014-05-01,4.19
2014-06-01,4.16
2014-07-01,4.13
2014-08-01,4.12
2014-09-01,4.16
2014-10-01,4.04
2014-11-01,4.0
2014-12-01,3.86
2015-01-01,3.67
2015-02-01,3.71
2015-03-01,3.77
2015-04-01,3.67
2015-05-01,3.84
2015-06-01,3.98
2015-07-01,4.05
2015-08-01,3.9
2015-09-01,3.89
2015-10-01,3.8
2015-11-01,3.94
2015-12-01,3.96
2016-01-01,3.87
2016-02-01,3.66
2016-03-01,3.69
2016-04-01,3.6
2016-05-01,3.6
2016-06-01,3.57
2016-07-01,3.44
2016-08-01,3.44
2016-09-01,3.46
2016-10-01,3.47
2016-11-01,3.77
2016-12-01,4.2
2017-01-01,4.15
2017-02-01,4.17
2017-03-01,4.2
2017-04-01,4.04
2017-05-01,4.01
2017-06-01,3.9
2017-07-01,3.97
2017-08-01,3.88
2017-09-01,3.81
2017-10-01,3.9
2017-11-01,3.92
2017-12-01,3.95
2018-01-01,4.03
2018-02-01,4.33
2018-03-01,4.44
2018-04-01,4.47
2018-05-01,4.59
2018-06-01,4.57
2018-07-01,4.53
2018-08-01,4.55
2018-09-01,4.63
2018-10-01,4.83
2018-11-01,4.87
2018-12-01,4.64
2019-01-01,4.46
2019-02-01,4.37
2019-03-01,4.26
2019-04-01,4.14
2019-05-01,4.07
2019-06-01,3.8
2019-07-01,3.77
2019-08-01,3.62
2019-09-01,3.61
2019-10-01,3.69
2019-11-01,3.69
2019-12-01,3.72
2020-01-01,3.62
2020-02-01,3.46
2020-03-01,3.45
2020-04-01,3.31
2020-05-01,3.23
2020-06-01,3.16
2020-07-01,3.02
2020-08-01,2.94
2020-09-01,2.89
2020-10-01,2.83
2020-11-01,2.77
2020-12-01,2.68
2021-01-01,2.73
2021-02-01,2.81
2021-03-01,3.08
2021-04-01,3.06
2021-05-01,2.96
2021-06-01,2.98
2021-07-01,2.87
2021-08-01,2.84
2021-09-01,2.9
2021-10-01,3.07
2021-11-01,3.07
2021-12-01,3.1
2022-01-01,3.45
2022-02-01,3.76
2022-03-01,4.17
2022-04-01,4.98
2022-05-01,5.23
2022-06-01,5.52
2022-07-01,5.41
2022-08-01,5.22
2022-09-01,6.11
2022-10-01,6.9
2022-11-01,6.8
2022-12-01,6.36
2023-01-01,6.27
2023-02-01,6.26
2023-03-01,6.54
2023-04-01,6.34
2023-05-01,6.42
2023-06-01,6.71
2023-07-01,6.84
2023-08-01,7.07
2023-09-01,7.2
2023-10-01,7.62
2023-11-01,7.44
2023-12-01,6.81
2024-01-01,6.64
2024-02-01,6.78
2024-03-01,6.82
2024-04-01,6.99
2024-05-01,7.06
2024-06-01,6.92
2024-07-01,6.85
2024-08-01,6.5
2024-09-01,6.18
2024-10-01,6.43
2024-11-01,6.8
2024-12-01,6.71
2025-01-01,6.96
2025-02-01,6.84
2025-03-01,6.65
2025-04-01,6.72
2025-05-01,6.82
2025-06-01,6.82
2025-07-01,6.72
2025-08-01,6.59
2025-09-01,6.35
2025-10-01,6.25
2025-11-01,6.24
2025-12-01,6.19
2026-01-01,6.1
2026-02-01,6.05
2026-03-01,6.18
2026-04-01,6.46
