ZIP,CITY,PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,PROPERTY_TYPE,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,NEW_LISTINGS,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,SOLD_ABOVE_LIST,PRICE_DROPS,OFF_MARKET_IN_TWO_WEEKS
29650,Greer,2012-01-01,2012-03-31,90,All Residential,154190,0.1316697248,-0.037701818,185900,0.005408328826,-0.07003501751,80.609108159,0.04810986383,-0.02752862668,93,0.2236842105,0.2567567568,92,155,247,0.06008583691,-0.1928104575,,129,-11,-49,0.953231724,0.05376344086,,0.01086956522
29650,Greer,2012-01-01,2012-03-31,90,Condo/Co-op,153000,-0.3461538462,0.3175457481,119900,-0.04652087475,0.001670843776,95.090118086,-0.08713486638,0.1372591466,9,0.8,0.5,9,17,31,-0.1621621622,-0.3260869565,,122,-236,-86,0.9619033745,0,,0
29650,Greer,2012-01-01,2012-03-31,90,Single Family Residential,155000,0.1091234347,-0.1384102279,209900,0.02665688432,-0.04547521601,79.283360791,0.05346954604,-0.04491337124,71,0.1833333333,0.126984127,70,129,199,0.1179775281,-0.1975806452,,136.5,-3.5,-42.5,0.9511110975,0.05633802817,,0.01428571429
29650,Greer,2012-01-01,2012-03-31,90,Townhouse,116000,0,0.09444287197,149700,-0.1062686567,0.04758572428,79.128440367,0,0.1049164237,13,0.1818181818,1.6,13,8,17,-0.05555555556,0.4166666667,,97,0,-52,0.9588101574,0.07692307692,,0
29650,Greer,2012-02-01,2012-04-30,90,All Residential,154595,0.002626629483,-0.06249241965,179950,-0.03200645508,-0.09979989995,81.94840629,0.01661472458,-0.002367227773,110,0.1827956989,0.2643678161,109,166,246,-0.004048582996,-0.18,,136,7,21.5,0.9598261478,0.1,,0.009174311927
29650,Greer,2012-02-01,2012-04-30,90,Condo/Co-op,127250,-0.1683006536,0.2984693878,119900,0,0.0008347245409,92.620344549,-0.02597297791,0.2109963895,10,0.1111111111,0.4285714286,10,17,35,0.1290322581,-0.1860465116,,135.5,13.5,-41.5,0.9583554625,0,,0
29650,Greer,2012-02-01,2012-04-30,90,Single Family Residential,157000,0.01290322581,-0.1224392834,209900,0,-0.02598607889,81.678139309,0.03020531035,-0.01463179388,88,0.2394366197,0.1891891892,87,133,191,-0.04020100503,-0.2267206478,,140,3.5,41,0.9599354249,0.1136363636,,0.01149425287
29650,Greer,2012-02-01,2012-04-30,90,Townhouse,123975,0.06875,0.1952853837,128900,-0.1389445558,-0.09797060882,83.441759876,0.05451035669,0.1906460144,12,-0.07692307692,1,12,16,20,0.1764705882,1,,113.5,16.5,-210.5,0.9602503532,0.08333333333,,0
29650,Greer,2012-03-01,2012-05-31,90,All Residential,162250,0.04951647854,-0.05942028986,179900,-0.0002778549597,-0.1113855273,82.930993038,0.01199030942,0.009594697852,128,0.1636363636,0.2427184466,128,168,234,-0.0487804878,-0.2040816327,,122,-14,6,0.9652334047,0.1171875,,0.0078125
29650,Greer,2012-03-01,2012-05-31,90,Condo/Co-op,99000,-0.2220039293,-0.1073038774,123900,0.03336113428,-0.008792070337,71.088435374,-0.2324749414,-0.07052992523,13,0.3,0.4444444444,13,15,29,-0.1714285714,-0.3409090909,,122,-13.5,3,0.9584863179,0,,0
29650,Greer,2012-03-01,2012-05-31,90,Single Family Residential,173117.5,0.1026592357,-0.05658038147,213000,0.01476893759,-0.05122494432,83.759764591,0.0254857089,0.01048101338,104,0.1818181818,0.1818181818,104,136,186,-0.02617801047,-0.2151898734,,128.5,-11.5,30,0.9661833683,0.1153846154,,0.009615384615
29650,Greer,2012-03-01,2012-05-31,90,Townhouse,97500,-0.2135511192,-0.05996914771,119500,-0.07292474787,-0.2831433713,71.696696697,-0.1407576158,0.02305352016,11,-0.08333333333,0.8333333333,11,17,19,-0.05,0.4615384615,,77,-36.5,-247,0.9642257602,0.2727272727,,0
29650,Greer,2012-04-01,2012-06-30,90,All Residential,164500,0.01386748844,-0.04353792125,175000,-0.02723735409,-0.06141056584,81.94840629,-0.01184824529,-0.01316866531,140,0.09375,0.1965811966,139,157,225,-0.03846153846,-0.2598684211,,113,-9,5,0.9694410192,0.1285714286,,0
29650,Greer,2012-04-01,2012-06-30,90,Condo/Co-op,94000,-0.05050505051,-0.1523895401,128700,0.0387409201,-0.1376884422,68.989547038,-0.02952503209,-0.12855309,13,0,0.1818181818,13,16,27,-0.06896551724,-0.3571428571,,110,-12,1,0.9598126677,0.07692307692,,0
29650,Greer,2012-04-01,2012-06-30,90,Single Family Residential,177788.5,0.0269816743,-0.01228611111,211000,-0.009389671362,0.1111111111,83.002357183,-0.009042616242,-0.006536560057,118,0.1346153846,0.1568627451,117,124,177,-0.04838709677,-0.265560166,,114,-14.5,8,0.9706377823,0.1271186441,,0
29650,Greer,2012-04-01,2012-06-30,90,Townhouse,97500,0,-0.03544134741,119500,0,-0.2176759411,80.13215859,0.1176548193,0.1732554568,9,-0.1818181818,1.25,9,17,21,0.1052631579,0.05,,79,2,-200,0.9676577443,0.2222222222,,0
29650,Greer,2012-05-01,2012-07-31,90,All Residential,175000,0.06382978723,-0.02777777778,204950,0.1711428571,0.1579096045,81.666666667,-0.003438012234,-0.02563218391,137,-0.02142857143,0.03007518797,136,156,223,-0.008888888889,-0.2389078498,,95,-18,-34.5,0.9682388246,0.1094890511,,0.007352941176
29650,Greer,2012-05-01,2012-07-31,90,Condo/Co-op,106000,0.1276595745,-0.2535211268,138900,0.07925407925,0.07466566602,69.524307371,0.007751324009,-0.1217982227,17,0.3076923077,0.1333333333,17,13,21,-0.2222222222,-0.4166666667,,96,-14,-37,0.9566185984,0.05882352941,,0
29650,Greer,2012-05-01,2012-07-31,90,Single Family Residential,201500,0.1333691437,0.03670661717,238300,0.1293838863,0.2578516759,83.225806452,0.002692083404,-0.009153099025,111,-0.0593220339,-0.02631578947,110,128,178,0.005649717514,-0.2457627119,,95,-19,-33,0.970281297,0.1081081081,,0.009090909091
29650,Greer,2012-05-01,2012-07-31,90,Townhouse,99000,0.01538461538,-0.03012490816,119500,0,0.08685766257,73.880597015,-0.07801563923,0.1694114668,9,0,1.25,9,15,24,0.1428571429,0.2,,79,0,-70.5,0.9649976485,0.2222222222,,0
29650,Greer,2012-06-01,2012-08-31,90,All Residential,194000,0.1085714286,0.08988764045,215000,0.04903635033,0.2521111176,80.769230769,-0.01098901099,-0.03355437666,125,-0.08759124088,-0.04580152672,124,153,227,0.01793721973,-0.1302681992,,94,-1,-35,0.9661476172,0.104,,0.008064516129
29650,Greer,2012-06-01,2012-08-31,90,Condo/Co-op,126500,0.1933962264,-0.1619741636,124400,-0.1043916487,0.1062694531,73.506229341,0.05727381,-0.1885815127,14,-0.1764705882,0,14,12,19,-0.09523809524,-0.40625,,89,-7,-43.5,0.9561935855,0.07142857143,,0
29650,Greer,2012-06-01,2012-08-31,90,Single Family Residential,213800,0.06104218362,0.08189894011,246900,0.03608896349,0.3063492063,80.853391685,-0.02850575882,-0.03394338334,103,-0.07207207207,-0.08035714286,102,125,182,0.02247191011,-0.1455399061,,91,-4,-39.5,0.9674498903,0.1165048544,,0.009803921569
29650,Greer,2012-06-01,2012-08-31,90,Townhouse,158200,0.597979798,0.4588847186,122500,0.02510460251,0.1400439266,83.882027337,0.1353728953,0.2031121066,8,-0.1111111111,0.6,8,16,26,0.08333333333,0.7333333333,,184,105,106,0.9668004067,0,,0
29650,Greer,2012-07-01,2012-09-30,90,All Residential,185000,-0.04639175258,0.04947271087,199450,-0.0723255814,0.1739258387,80,-0.009523809524,-0.0191903438,109,-0.128,-0.05217391304,108,146,228,0.004405286344,-0.1230769231,,90,-4,-42,0.965237676,0.1009174312,,0.01851851852
29650,Greer,2012-07-01,2012-09-30,90,Condo/Co-op,139950,0.1063241107,-0.01443661972,150200,0.2073954984,0.1625386997,77.591970449,0.05558360352,-0.1257242766,12,-0.1428571429,0.09090909091,12,10,18,-0.05263157895,-0.5,,92,3,-41,0.9470479207,0,,0
29650,Greer,2012-07-01,2012-09-30,90,Single Family Residential,218000,0.0196445276,0.1303213898,227200,-0.07978938842,0.198944591,80.588235294,-0.003279471464,-0.02089883097,87,-0.1553398058,-0.112244898,86,122,186,0.02197802198,-0.1142857143,,90,-1,-48,0.9678281987,0.1264367816,,0.02325581395
29650,Greer,2012-07-01,2012-09-30,90,Townhouse,116450,-0.2639064475,0.115592428,120450,-0.01673469388,0.1377053206,79.114177067,-0.05683995035,0.1390095515,10,0.25,0.6666666667,10,14,24,-0.07692307692,0.8461538462,,96.5,-87.5,51,0.964527835,0,,0
29650,Greer,2012-08-01,2012-10-31,90,All Residential,176335.5,-0.04683513514,0.01342241379,177000,-0.1125595387,0.1079812207,81.614872364,0.02018590455,0.003801373112,110,0.009174311927,0.009174311927,107,135,218,-0.04385964912,-0.1209677419,,103,13,-1,0.9620672106,0.08181818182,,0.009345794393
29650,Greer,2012-08-01,2012-10-31,90,Condo/Co-op,136375,-0.02554483744,-0.1729836264,118450,-0.2113848202,0.2274611399,77.756660831,0.002122518363,-0.2436526139,10,-0.1666666667,1,10,10,18,0,-0.5,,143,51,20,0.9544644398,0.1,,0
29650,Greer,2012-08-01,2012-10-31,90,Single Family Residential,197000,-0.09633027523,0.1070183276,185000,-0.1857394366,0.0888758093,84.251968504,0.0454623829,0.0363797861,87,0,-0.09375,84,113,180,-0.03225806452,-0.07216494845,,99.5,9.5,-10,0.9647993146,0.09195402299,,0.0119047619
29650,Greer,2012-08-01,2012-10-31,90,Townhouse,119000,0.02189781022,0.1336788355,109900,-0.08758821088,0.1001001001,74.127399651,-0.06303266495,0.0305142916,13,0.3,0.625,13,11,19,-0.2083333333,0.1176470588,,88,-8.5,34.5,0.9496314149,0,,0
