Variable_Code,Label,Value,Margin_of_Error,ZIP
DP04_0001E,Estimate!!HOUSING OCCUPANCY!!Total housing units,10204,653,29690
DP04_0001PE,Percent!!HOUSING OCCUPANCY!!Total housing units,10204,-888888888,29690
DP04_0002E,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,9235,650,29690
DP04_0002PE,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,90.5,2.9,29690
DP04_0003E,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units,969,307,29690
DP04_0003PE,Percent!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units,9.5,2.9,29690
DP04_0004E,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate,0.6,0.6,29690
DP04_0004PE,Percent!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate,-888888888,-888888888,29690
DP04_0005E,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate,4.9,4.5,29690
DP04_0005PE,Percent!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate,-888888888,-888888888,29690
DP04_0006E,Estimate!!UNITS IN STRUCTURE!!Total housing units,10204,653,29690
DP04_0006PE,Percent!!UNITS IN STRUCTURE!!Total housing units,10204,-888888888,29690
DP04_0007E,"Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached",7527,607,29690
DP04_0007PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached",73.8,3.4,29690
DP04_0008E,"Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached",53,38,29690
DP04_0008PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached",0.5,0.4,29690
DP04_0009E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!2 units,30,37,29690
DP04_0009PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!2 units,0.3,0.4,29690
DP04_0010E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units,23,26,29690
DP04_0010PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units,0.2,0.3,29690
DP04_0011E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units,288,134,29690
DP04_0011PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units,2.8,1.3,29690
DP04_0012E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units,0,25,29690
DP04_0012PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units,0.0,0.4,29690
DP04_0013E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!20 or more units,152,94,29690
DP04_0013PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!20 or more units,1.5,0.9,29690
DP04_0014E,Estimate!!UNITS IN STRUCTURE!!Total housing units!!Mobile home,2096,347,29690
DP04_0014PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!Mobile home,20.5,3.1,29690
DP04_0015E,"Estimate!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.",35,40,29690
DP04_0015PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.",0.3,0.4,29690
DP04_0016E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units,10204,653,29690
DP04_0016PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units,10204,-888888888,29690
DP04_0017E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,142,70,29690
DP04_0017PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,1.4,0.7,29690
DP04_0018E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,1307,322,29690
DP04_0018PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,12.8,2.9,29690
DP04_0019E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,1956,272,29690
DP04_0019PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,19.2,2.8,29690
DP04_0020E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,2051,269,29690
DP04_0020PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,20.1,2.6,29690
DP04_0021E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,1149,228,29690
DP04_0021PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,11.3,2.2,29690
DP04_0022E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,1584,409,29690
DP04_0022PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,15.5,3.4,29690
DP04_0023E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,568,141,29690
DP04_0023PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,5.6,1.4,29690
DP04_0024E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,705,194,29690
DP04_0024PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,6.9,1.9,29690
DP04_0025E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,256,123,29690
DP04_0025PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,2.5,1.2,29690
DP04_0026E,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,486,176,29690
DP04_0026PE,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,4.8,1.7,29690
DP04_0027E,Estimate!!ROOMS!!Total housing units,10204,653,29690
DP04_0027PE,Percent!!ROOMS!!Total housing units,10204,-888888888,29690
DP04_0028E,Estimate!!ROOMS!!Total housing units!!1 room,98,115,29690
DP04_0028PE,Percent!!ROOMS!!Total housing units!!1 room,1.0,1.1,29690
DP04_0029E,Estimate!!ROOMS!!Total housing units!!2 rooms,0,25,29690
DP04_0029PE,Percent!!ROOMS!!Total housing units!!2 rooms,0.0,0.4,29690
DP04_0030E,Estimate!!ROOMS!!Total housing units!!3 rooms,541,206,29690
DP04_0030PE,Percent!!ROOMS!!Total housing units!!3 rooms,5.3,2.0,29690
DP04_0031E,Estimate!!ROOMS!!Total housing units!!4 rooms,1005,218,29690
DP04_0031PE,Percent!!ROOMS!!Total housing units!!4 rooms,9.8,2.1,29690
DP04_0032E,Estimate!!ROOMS!!Total housing units!!5 rooms,2679,395,29690
DP04_0032PE,Percent!!ROOMS!!Total housing units!!5 rooms,26.3,3.6,29690
DP04_0033E,Estimate!!ROOMS!!Total housing units!!6 rooms,1484,314,29690
DP04_0033PE,Percent!!ROOMS!!Total housing units!!6 rooms,14.5,2.7,29690
DP04_0034E,Estimate!!ROOMS!!Total housing units!!7 rooms,1451,263,29690
DP04_0034PE,Percent!!ROOMS!!Total housing units!!7 rooms,14.2,2.6,29690
DP04_0035E,Estimate!!ROOMS!!Total housing units!!8 rooms,1291,290,29690
DP04_0035PE,Percent!!ROOMS!!Total housing units!!8 rooms,12.7,2.7,29690
DP04_0036E,Estimate!!ROOMS!!Total housing units!!9 rooms or more,1655,287,29690
DP04_0036PE,Percent!!ROOMS!!Total housing units!!9 rooms or more,16.2,2.6,29690
DP04_0037E,Estimate!!ROOMS!!Total housing units!!Median rooms,6.0,0.3,29690
DP04_0037PE,Percent!!ROOMS!!Total housing units!!Median rooms,-888888888,-888888888,29690
DP04_0038E,Estimate!!BEDROOMS!!Total housing units,10204,653,29690
DP04_0038PE,Percent!!BEDROOMS!!Total housing units,10204,-888888888,29690
DP04_0039E,Estimate!!BEDROOMS!!Total housing units!!No bedroom,98,115,29690
DP04_0039PE,Percent!!BEDROOMS!!Total housing units!!No bedroom,1.0,1.1,29690
DP04_0040E,Estimate!!BEDROOMS!!Total housing units!!1 bedroom,370,181,29690
DP04_0040PE,Percent!!BEDROOMS!!Total housing units!!1 bedroom,3.6,1.7,29690
DP04_0041E,Estimate!!BEDROOMS!!Total housing units!!2 bedrooms,1873,302,29690
DP04_0041PE,Percent!!BEDROOMS!!Total housing units!!2 bedrooms,18.4,2.8,29690
DP04_0042E,Estimate!!BEDROOMS!!Total housing units!!3 bedrooms,5311,557,29690
DP04_0042PE,Percent!!BEDROOMS!!Total housing units!!3 bedrooms,52.0,4.6,29690
DP04_0043E,Estimate!!BEDROOMS!!Total housing units!!4 bedrooms,2068,407,29690
DP04_0043PE,Percent!!BEDROOMS!!Total housing units!!4 bedrooms,20.3,3.6,29690
DP04_0044E,Estimate!!BEDROOMS!!Total housing units!!5 or more bedrooms,484,145,29690
DP04_0044PE,Percent!!BEDROOMS!!Total housing units!!5 or more bedrooms,4.7,1.5,29690
DP04_0045E,Estimate!!HOUSING TENURE!!Occupied housing units,9235,650,29690
DP04_0045PE,Percent!!HOUSING TENURE!!Occupied housing units,9235,-888888888,29690
DP04_0046E,Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,7541,611,29690
DP04_0046PE,Percent!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,81.7,2.7,29690
DP04_0047E,Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,1694,265,29690
DP04_0047PE,Percent!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,18.3,2.7,29690
DP04_0048E,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit,2.67,0.09,29690
DP04_0048PE,Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit,-888888888,-888888888,29690
DP04_0049E,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,2.48,0.34,29690
DP04_0049PE,Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,-888888888,-888888888,29690
DP04_0050E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,9235,650,29690
DP04_0050PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,9235,-888888888,29690
DP04_0051E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2021 or later,391,136,29690
DP04_0051PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2021 or later,4.2,1.5,29690
DP04_0052E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2018 to 2020,1789,354,29690
DP04_0052PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2018 to 2020,19.4,3.5,29690
DP04_0053E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2017,2635,388,29690
DP04_0053PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2017,28.5,3.9,29690
DP04_0054E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009,2022,242,29690
DP04_0054PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009,21.9,3.0,29690
DP04_0055E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999,1142,264,29690
DP04_0055PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999,12.4,2.7,29690
DP04_0056E,Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier,1256,363,29690
DP04_0056PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier,13.6,3.4,29690
DP04_0057E,Estimate!!VEHICLES AVAILABLE!!Occupied housing units,9235,650,29690
DP04_0057PE,Percent!!VEHICLES AVAILABLE!!Occupied housing units,9235,-888888888,29690
DP04_0058E,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,283,132,29690
DP04_0058PE,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,3.1,1.4,29690
DP04_0059E,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,2403,369,29690
DP04_0059PE,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,26.0,3.7,29690
DP04_0060E,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,3901,459,29690
DP04_0060PE,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,42.2,4.2,29690
DP04_0061E,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,2648,432,29690
DP04_0061PE,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,28.7,3.9,29690
DP04_0062E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units,9235,650,29690
DP04_0062PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units,9235,-888888888,29690
DP04_0063E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas,917,227,29690
DP04_0063PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas,9.9,2.4,29690
DP04_0064E,"Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas",959,230,29690
DP04_0064PE,"Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas",10.4,2.4,29690
DP04_0065E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity,6788,527,29690
DP04_0065PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity,73.5,3.9,29690
DP04_0066E,"Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.",143,72,29690
DP04_0066PE,"Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.",1.5,0.8,29690
DP04_0067E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke,0,25,29690
DP04_0067PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke,0.0,0.5,29690
DP04_0068E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood,320,279,29690
DP04_0068PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Wood,3.5,2.9,29690
DP04_0069E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy,32,33,29690
DP04_0069PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy,0.3,0.4,29690
DP04_0070E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel,11,17,29690
DP04_0070PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel,0.1,0.2,29690
DP04_0071E,Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!No fuel used,65,44,29690
DP04_0071PE,Percent!!HOUSE HEATING FUEL!!Occupied housing units!!No fuel used,0.7,0.5,29690
DP04_0072E,Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units,9235,650,29690
