PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED
2014-04-01,2014-06-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Townhouse,13,123800,-0.08126159555,0.179047619,123000,-0.04242896069,-0.0725730443,84.800507711,-0.07940455366,0.1599654941,83.830104322,-0.02382361116,-0.0148397041,32,0.2307692308,0.6842105263,31,0.2916666667,0.6315789474,33,-0.02941176471,0.65,39,-0.152173913,0.1818181818,NA,NA,NA,76.5,-5.5,-58.5,0.9704637127,-0.004770392375,0.001298449033,0,0,-0.05263157895,NA,NA,NA,0,0,0,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2024-07-01,2024-09-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Single Family Residential,6,399900,0.03533980583,-0.07,404950,-0.04717647059,-0.07850722494,189.412336085,-0.002820308966,0.03824779621,195.412206397,0.009699997315,0.06026748839,95,-0.05,0,106,0.1276595745,0.06,124,-0.04615384615,-0.008,102,-0.04672897196,0.04081632653,NA,NA,NA,49,5,8,0.9842637413,0.001280382993,-0.01434558678,0.2315789474,0.01157894737,-0.1684210526,NA,NA,NA,0.4622641509,0.02609393818,-0.1377358491,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2013-09-01,2013-11-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Single Family Residential,6,218250,-0.003993154592,0.125,230000,0.06912348144,0.2784880489,90.767477204,0.008419283496,0.04098950418,94.5899592,-0.01251701006,0.08585757309,99,-0.2142857143,0.1123595506,98,-0.2222222222,0.1395348837,98,-0.2096774194,0.03157894737,154,-0.04938271605,-0.0375,NA,NA,NA,85.5,-0.5,-17.5,0.9732970799,-0.00554802572,0.0003825823837,0.1818181818,0.03896103896,0.08069458631,NA,NA,NA,0.01020408163,0.002267573696,-0.001423825344,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2019-01-01,2019-03-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Single Family Residential,6,250000,0.06382978723,-0.08240044045,275240,0.02054134223,0.02893457944,115.344285215,0.01448785033,0.07273991405,117.117117117,-0.0101268181,0.06271930376,111,0.15625,0.06730769231,169,0.2611940299,0.2518518519,171,0.2857142857,0.04268292683,162,0.05194805195,-0.07428571429,NA,NA,NA,72.5,4,11.5,0.9798160018,-0.000175914079,-0.007090156374,0.1891891892,0.03293918919,-0.03196465696,NA,NA,NA,0.4792899408,0.06137949307,0.03484549638,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2016-02-01,2016-04-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Condo/Co-op,3,133000,0.07692307692,0.208541572,157450,0.08213058419,0.2646586345,101.604278075,0.1524765296,0.2058685105,91.011560694,-0.1073986453,0.0384573332,5,0.25,-0.1666666667,5,-0.1666666667,-0.2857142857,7,0,0.4,5,1.5,0,NA,NA,NA,53,1.5,-128,0.9648845243,0.003223313379,0.02746600645,0,0,0,NA,NA,NA,0.2,0.03333333333,-0.08571428571,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2020-08-01,2020-10-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Single Family Residential,6,276500,0.01282051282,-0.0298245614,277000,-0.0321453529,-0.04152249135,120.782243565,-0.01849993279,0.04167596915,121.398542798,0.001191319533,0.02939811382,200,0.04712041885,0.2422360248,191,-0.1357466063,0.2243589744,174,-0.116751269,0.02958579882,131,-0.08391608392,-0.2514285714,NA,NA,NA,55,-1,-13,0.9872061906,-0.001035245113,0.0001073017502,0.19,0.001518324607,0.02850931677,NA,NA,NA,0.4816753927,0.02013693113,0.09064975164,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2023-10-01,2023-12-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,All Residential,-1,399900,0.03333333333,0.311147541,398400,0.008607594937,0.328,173.567708333,-0.002265625,0.02212094907,174.133333333,-0.0134127255,0.01837977011,127,0.04958677686,0.04958677686,106,-0.1451612903,-0.01851851852,112,-0.1824817518,0.06666666667,90,-0.203539823,-0.01098901099,NA,NA,NA,50,6.5,4.5,0.9834737881,-0.005601777709,-0.005312865329,0.1811023622,-0.05856705928,-0.0750959849,NA,NA,NA,0.4811320755,-0.02693244066,-0.009608665269,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2019-07-01,2019-09-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Condo/Co-op,3,179442,-0.02477173913,0.2375310345,175200,0.02486107049,0.2977777778,110.424028269,0.0120602243,-0.1018845701,107.970830972,-0.03582706269,-0.1218372414,9,0,0,6,-0.4,-0.1428571429,4,-0.5,-0.2,2,1,NA,NA,NA,NA,38,-3,-1,0.9919495802,0.002364066194,-0.005372446529,0.2222222222,0,0,NA,NA,NA,0.6666666667,-0.03333333333,-0.04761904762,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2015-11-01,2016-01-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Condo/Co-op,3,173450,0.3352578907,NA,175700,-0.1230346893,NA,102.281260001,0.2799168632,NA,102.495543672,-0.01893709584,NA,2,-0.6,NA,2,0,NA,5,1.5,NA,4,3,NA,NA,NA,NA,23,-21,NA,0.9822222222,-0.002045977011,NA,0,-0.2,NA,NA,NA,NA,0.5,0,NA,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2014-09-01,2014-11-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Townhouse,13,124900,0.08608695652,-0.05019011407,149900,0.05192982456,0.1249530957,77.481389578,-0.06526451613,-0.08515949655,89.95,0,0.01203667425,27,-0.1290322581,0.2272727273,27,-0.1290322581,0.2857142857,23,-0.2580645161,-0.1153846154,34,0,-0.1904761905,NA,NA,NA,91,4,-12,0.9788136865,0.005865467826,0.005513816609,0.1481481481,-0.01314217443,0.05723905724,NA,NA,NA,0,0,0,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2023-04-01,2023-06-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Townhouse,13,258216,-0.008893307182,0.003138985579,257450,0.02877122877,0.107311828,160.486995019,-0.008756795469,0.0495023543,163.96528248,0,0.05595764445,37,-0.05128205128,-0.5316455696,28,-0.2432432432,-0.3777777778,30,0.07142857143,-0.3023255814,16,0,-0.5294117647,NA,NA,NA,45,-1,10.5,0.9867691908,-0.0008678034629,-0.02442364122,0.1351351351,0.00693000693,-0.3838522066,NA,NA,NA,0.6785714286,0.08397683398,-0.09920634921,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2025-07-01,2025-09-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Townhouse,13,285000,0.02702702703,0.05751391466,281500,0.01258992806,-0.02069925204,168.032300758,0.05637096631,0.05002158757,170.054452833,0.02137360859,0.009077910267,22,0,-0.2666666667,23,0.15,-0.303030303,28,-0.03448275862,-0.125,28,-0.03448275862,0.12,NA,NA,NA,78,14,33.5,0.9729020336,-0.008527766757,-0.01015450694,0,-0.04545454545,-0.06666666667,NA,NA,NA,0.2173913043,-0.08260869565,-0.2674571805,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2016-01-01,2016-03-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Townhouse,13,142000,0.109375,-0.1341463415,174500,-0.0435735818,-0.03055555556,88.703261734,0.05418537312,-0.06075828217,109.945004583,-0.007750307,0.08933493869,25,-0.1071428571,-0.2424242424,30,0.3043478261,-0.347826087,39,0.1470588235,-0.152173913,35,0.02941176471,-0.1463414634,NA,NA,NA,81,-8.5,22.5,0.9748793498,0.001254593964,-0.005313887072,0.08,-0.02714285714,0.08,NA,NA,NA,0.5,0.0652173913,0.2826086957,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2017-04-01,2017-06-30,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Condo/Co-op,3,113750,-0.1422668285,-0.3168168168,155550,0.415377616,-0.176984127,91.84696844,0,-0.1522560367,90.514734848,0.003445552335,-0.2169757065,6,-0.25,0.5,3,-0.4,-0.4,4,-0.3333333333,-0.2,1,0,-0.75,NA,NA,NA,26,-23,-28.5,0.993157377,0.006237777815,0.02737559644,0.3333333333,0.08333333333,0.08333333333,NA,NA,NA,1,0,0.8,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2021-10-01,2021-12-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,Condo/Co-op,3,165000,-0.003021148036,0.03773584906,263117.5,-0.001993225688,0.8146034483,125.801282051,0.02579020608,0.08709659593,155.654308067,-0.008151441427,0.3848516621,3,-0.5,0,7,0.75,1.333333333,8,0.1428571429,1.666666667,7,0.75,1.333333333,NA,NA,NA,3,-13,-43,1.015555556,0.002040805082,0.02939754013,0.3333333333,0,0.3333333333,NA,NA,NA,0.5714285714,-0.4285714286,0.2380952381,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2012-01-01,2012-03-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,All Residential,-1,154190,0.1316697248,-0.037701818,185900,0.005408328826,-0.07003501751,80.609108159,0.04810986383,-0.02752862668,90.503018109,0.02307759601,-0.003968785197,93,0.2236842105,0.2567567568,92,0.2432432432,0.3142857143,155,0.24,-0.1091954023,247,0.06008583691,-0.1928104575,NA,NA,NA,129,-11,-49,0.953231724,-0.007414642134,-0.003334237864,0.05376344086,-0.05149971703,-0.01380412671,NA,NA,NA,0.01086956522,0.01086956522,0.01086956522,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
2013-03-01,2013-05-31,90,zip code,2,12214,false,Zip Code: 29650,,South Carolina,SC,All Residential,-1,175000,0.03092783505,0.07858243451,189900,0.02815376286,0.05558643691,83.42760181,0.0085661646,0.005988216876,91.96390202,0.002127027198,0.03829041327,135,0.25,0.0546875,131,0.2476190476,0.0234375,211,0.128342246,0.255952381,258,0.09322033898,0.1025641026,NA,NA,NA,93,-7.5,-29,0.9753581639,0.00330540488,0.01012475929,0.1185185185,-0.02962962963,0.001331018519,NA,NA,NA,0,0,-0.0078125,Greenville, SC,24860,2026-03-16 16:20:34.997 Z
