Date,Home_Value,RegionName,RegionType,StateName
2000-01-31,118196.81,"Greenville, SC",msa,SC
2000-02-29,118363.49,"Greenville, SC",msa,SC
2000-03-31,118542.15,"Greenville, SC",msa,SC
2000-04-30,118894.34,"Greenville, SC",msa,SC
2000-05-31,119248.96,"Greenville, SC",msa,SC
2000-06-30,119556.83,"Greenville, SC",msa,SC
2000-07-31,119828.11,"Greenville, SC",msa,SC
2000-08-31,120078.75,"Greenville, SC",msa,SC
2000-09-30,120432.33,"Greenville, SC",msa,SC
2000-10-31,120893.18,"Greenville, SC",msa,SC
2000-11-30,121395.1,"Greenville, SC",msa,SC
2000-12-31,121615.61,"Greenville, SC",msa,SC
2001-01-31,121688.1,"Greenville, SC",msa,SC
2001-02-28,121625.59,"Greenville, SC",msa,SC
2001-03-31,121764.8,"Greenville, SC",msa,SC
2001-04-30,121928.71,"Greenville, SC",msa,SC
2001-05-31,122264.66,"Greenville, SC",msa,SC
2001-06-30,122661.2,"Greenville, SC",msa,SC
2001-07-31,123149.52,"Greenville, SC",msa,SC
2001-08-31,123454.57,"Greenville, SC",msa,SC
2001-09-30,123675.37,"Greenville, SC",msa,SC
2001-10-31,123882.31,"Greenville, SC",msa,SC
2001-11-30,124151.97,"Greenville, SC",msa,SC
2001-12-31,124405.6,"Greenville, SC",msa,SC
2002-01-31,124597.0,"Greenville, SC",msa,SC
2002-02-28,124849.88,"Greenville, SC",msa,SC
2002-03-31,125063.68,"Greenville, SC",msa,SC
2002-04-30,125246.36,"Greenville, SC",msa,SC
2002-05-31,125320.76,"Greenville, SC",msa,SC
2002-06-30,125464.77,"Greenville, SC",msa,SC
2002-07-31,125705.88,"Greenville, SC",msa,SC
2002-08-31,125993.42,"Greenville, SC",msa,SC
2002-09-30,126263.42,"Greenville, SC",msa,SC
2002-10-31,126524.49,"Greenville, SC",msa,SC
2002-11-30,126808.92,"Greenville, SC",msa,SC
2002-12-31,127078.6,"Greenville, SC",msa,SC
2003-01-31,127312.18,"Greenville, SC",msa,SC
2003-02-28,127520.46,"Greenville, SC",msa,SC
2003-03-31,127668.22,"Greenville, SC",msa,SC
2003-04-30,127690.11,"Greenville, SC",msa,SC
2003-05-31,127673.35,"Greenville, SC",msa,SC
2003-06-30,127794.15,"Greenville, SC",msa,SC
2003-07-31,128086.12,"Greenville, SC",msa,SC
2003-08-31,128405.87,"Greenville, SC",msa,SC
2003-09-30,128704.84,"Greenville, SC",msa,SC
2003-10-31,129002.27,"Greenville, SC",msa,SC
2003-11-30,129315.79,"Greenville, SC",msa,SC
2003-12-31,129547.73,"Greenville, SC",msa,SC
2004-01-31,129657.51,"Greenville, SC",msa,SC
2004-02-29,129768.04,"Greenville, SC",msa,SC
2004-03-31,129872.12,"Greenville, SC",msa,SC
2004-04-30,129988.18,"Greenville, SC",msa,SC
2004-05-31,130188.23,"Greenville, SC",msa,SC
2004-06-30,130426.72,"Greenville, SC",msa,SC
2004-07-31,130786.37,"Greenville, SC",msa,SC
2004-08-31,130974.67,"Greenville, SC",msa,SC
2004-09-30,131194.7,"Greenville, SC",msa,SC
